sym,cond,h,n,p_up,med,mean,p5,p10
AMD,after <=-5%,1,75,49.333333333333336,0.0,0.5584190392739485,9.333333333333334,2.666666666666667
AMD,baseline,1,1259,50.5957108816521,0.038933229511384226,0.205337977000483,7.307386814932486,0.8737092930897538
AMD,after <=-5%,3,75,52.0,0.12492478620855785,1.7011070415760323,28.000000000000004,10.666666666666668
AMD,baseline,3,1257,53.93794749403341,0.45598202174415015,0.6159161597334952,20.684168655529035,5.727923627684964
AMD,after <=-5%,5,75,61.33333333333333,2.454213517825843,3.0115491727421797,41.333333333333336,12.0
AMD,baseline,5,1255,53.864541832669325,0.5743077612000658,1.01161678445752,27.56972111553785,11.792828685258964
AMD,after <=-5%,10,74,59.45945945945946,2.279392150812498,3.222444368630243,39.189189189189186,27.027027027027028
AMD,baseline,10,1250,52.32,0.7650577156397609,2.0141101515340103,35.6,22.400000000000002
NVDA,after <=-5%,1,59,52.54237288135594,0.7587142261575197,0.7256230895073503,13.559322033898304,3.389830508474576
NVDA,baseline,1,1259,53.21683876092137,0.2623990967800749,0.24322996920513737,5.718824463860207,0.5559968228752978
NVDA,after <=-5%,3,59,44.06779661016949,-0.8163272394593246,0.26925103214449403,16.94915254237288,8.47457627118644
NVDA,baseline,3,1257,56.40413683373111,0.6838697911917491,0.726351772633352,19.17263325377884,5.171042163882259
NVDA,after <=-5%,5,59,54.23728813559322,0.21844761322420414,0.5060219994949923,23.728813559322035,11.864406779661017
NVDA,baseline,5,1255,57.60956175298805,1.0757386487529441,1.1905929350874866,26.294820717131472,9.800796812749004
NVDA,after <=-5%,10,59,59.32203389830508,2.074571485950827,2.738411937021406,35.59322033898305,25.423728813559322
NVDA,baseline,10,1250,58.08,1.9491936360803264,2.404715562264842,36.720000000000006,21.759999999999998
MU,after <=-5%,1,49,51.02040816326531,0.4951358941972739,-0.1475127388834707,12.244897959183673,0.0
MU,baseline,1,1259,51.86656076250993,0.09227465078127661,0.26002790677819304,7.227958697378872,1.1914217633042097
MU,after <=-5%,3,49,44.89795918367347,-1.436032213916727,0.4547025000050608,24.489795918367346,14.285714285714285
MU,baseline,3,1257,53.14240254574384,0.3714016727287328,0.7890809147600082,20.445505171042164,6.682577565632458
MU,after <=-5%,5,49,53.06122448979592,0.10192181820902757,1.9504692803515638,34.69387755102041,20.408163265306122
MU,baseline,5,1255,53.306772908366526,0.6249038334427803,1.3206709000993635,28.207171314741036,12.03187250996016
MU,after <=-5%,10,47,63.829787234042556,3.332607275103472,5.873186766426172,42.5531914893617,38.297872340425535
MU,baseline,10,1250,56.720000000000006,1.5603058400346148,2.6413145708543424,38.080000000000005,22.8
SMH,after <=-5%,1,22,54.54545454545454,0.2919845295788037,-0.17794072506837483,0.0,0.0
SMH,baseline,1,1259,53.93169181890389,0.18141983630177716,0.14638262531826404,1.7474185861795075,0.15885623510722796
SMH,after <=-5%,3,22,40.909090909090914,-0.6283161478525423,-0.29808550035891634,13.636363636363635,4.545454545454546
SMH,baseline,3,1257,55.847255369928405,0.5674393172564018,0.4356626275297785,9.626093874303898,0.9546539379474941
SMH,after <=-5%,5,22,54.54545454545454,0.18727618593805673,0.7401858489750712,22.727272727272727,4.545454545454546
SMH,baseline,5,1255,56.33466135458167,0.7222396347903226,0.7152194884859396,17.131474103585656,2.7091633466135456
SMH,after <=-5%,10,22,50.0,0.222589569611098,1.253857433467131,27.27272727272727,9.090909090909092
SMH,baseline,10,1250,58.8,1.5140589270009497,1.4284168783711695,28.88,9.04
