sym,spot,exp,dte,iv_atm,rv21t,vrp,iv_25c,iv_25p,skew,ret21,eff21,event
SPY,737.64,2026-08-10,14,15.8,9.8,-6.1,13.5,18.8,5.3,0.8,0.07,
QQQ,679.53,2026-08-10,14,27.4,21.3,-6.1,23.4,30.2,6.8,-3.7,0.13,
IWM,292.23,2026-08-10,14,20.4,9.7,-10.7,17.5,23.8,6.3,-1.9,0.14,
SMH,542.19,2026-08-10,14,58.7,47.2,-11.5,54.9,65.8,10.9,-9.3,0.15,
XLE,58.63,2026-08-14,18,29.0,15.5,-13.5,29.8,27.9,-1.8,11.3,0.53,
XLF,56.74,2026-08-10,14,16.7,11.8,-4.9,14.8,18.5,3.7,4.8,0.34,
XLV,164.1,2026-08-14,18,16.8,19.3,2.4,16.8,18.4,1.6,6.0,0.26,
XLP,84.87,2026-08-14,18,15.7,15.9,0.2,15.2,17.4,2.2,-0.4,0.01,
GLD,373.9,2026-08-10,14,21.8,18.7,-3.1,20.8,22.9,2.1,1.6,0.08,
TLT,83.77,2026-08-10,14,9.6,6.1,-3.5,9.5,10.1,0.6,-4.7,0.7,
USO,125.32,2026-08-14,18,61.8,40.0,-21.7,69.0,55.3,-13.7,28.6,0.48,
NVDA,196.81,2026-08-10,14,41.8,32.4,-9.4,39.7,45.6,6.0,3.9,0.11,~8/26
AMD,483.95,2026-08-10,14,89.7,66.8,-22.9,86.5,92.7,6.2,0.4,0.03,
MU,881.69,2026-08-10,14,99.6,84.1,-15.5,94.8,101.3,6.6,-12.2,0.09,
TSLA,306.1,2026-08-10,14,49.7,55.8,6.1,49.1,50.3,1.2,-16.6,0.23,
AAPL,335.2,2026-08-10,14,32.2,28.9,-3.2,31.4,34.3,2.8,13.6,0.35,7/30 AMC
MSFT,393.8,2026-08-10,14,51.6,27.9,-23.6,53.1,53.3,0.2,4.4,0.13,7/29 AMC
GOOGL,326.78,2026-08-10,14,31.7,32.1,0.4,30.8,33.6,2.8,-7.4,0.18,
AMZN,232.56,2026-08-10,14,52.1,25.3,-26.8,52.2,53.5,1.3,-0.9,0.02,7/30 AMC
META,596.39,2026-08-10,14,59.9,45.2,-14.7,62.5,63.5,1.0,6.7,0.13,7/29 AMC
CRWD,180.96,2026-08-14,18,62.8,43.9,-19.0,60.8,63.3,2.5,8.9,0.17,
