exp,dte,strike,ask,cost,n@budget,BE,2x,5x,need%,sigma,delta,oi,p_BE,p_BE_d,p_touch
2026-08-07,1,718.0,2.46,246,1626,720.46,722.92,730.3,0.5,0.36,0.404,1248,34.4,35.4,34.4
2026-08-11,5,718.0,4.89,489,817,722.89,727.78,742.45,0.8,0.31,0.449,1018,37.8,44.4,53.2
2026-08-10,4,718.0,3.95,395,1012,721.95,725.9,737.75,0.7,0.3,0.435,510,37.9,43.9,49.3
2026-08-21,15,718.0,10.91,1091,366,728.91,739.82,772.55,1.7,0.37,0.492,1165,31.0,40.8,49.5
2026-08-07,1,719.0,2.05,205,1951,721.05,723.1,729.25,0.6,0.42,0.358,1167,31.0,33.8,31.0
2026-08-21,15,719.0,10.39,1039,384,729.39,739.78,770.95,1.7,0.39,0.478,2626,30.6,40.4,48.3
2026-11-20,106,720.0,36.95,3695,108,756.95,793.9,904.75,5.6,0.46,0.542,4988,33.2,60.7,55.1
2026-12-18,134,720.0,43.03,4303,92,763.03,806.06,935.15,6.4,0.47,0.553,11635,34.3,60.0,55.6
2026-08-10,4,720.0,3.07,307,1302,723.07,726.14,735.35,0.8,0.36,0.37,988,34.3,39.7,44.7
2026-08-07,1,720.0,1.68,168,2380,721.68,723.36,728.4,0.7,0.49,0.313,15364,27.6,30.0,27.6
2027-09-17,407,720.0,91.53,9153,43,811.53,903.06,1177.65,13.2,0.54,0.614,3919,21.6,93.0,30.0
2027-01-15,162,720.0,48.64,4864,82,768.64,817.28,963.2,7.2,0.48,0.56,3402,23.5,59.0,51.0
2027-03-19,225,720.0,61.17,6117,65,781.17,842.34,1025.85,8.9,0.5,0.579,1150,14.6,64.7,37.0
2026-10-16,71,720.0,27.88,2788,143,747.88,775.76,859.4,4.3,0.44,0.524,5526,31.3,58.5,54.5
2026-09-30,55,720.0,23.11,2311,173,743.11,766.22,835.55,3.6,0.43,0.51,1887,31.2,53.8,51.6
2027-12-17,498,720.0,103.74,10374,38,823.74,927.48,1238.7,14.9,0.55,0.628,980,0.0,98.6,4.1
2027-03-31,237,720.0,62.84,6284,63,782.84,845.68,1034.2,9.2,0.5,0.58,503,16.7,72.8,37.6
2027-06-17,315,720.0,76.86,7686,52,796.86,873.72,1104.3,11.1,0.53,0.599,4686,11.8,99.3,48.0
2026-09-18,43,720.0,20.27,2027,197,740.27,760.54,821.35,3.2,0.43,0.507,21616,31.3,44.6,52.4
2026-08-14,8,720.0,6.54,654,611,726.54,733.08,752.7,1.3,0.4,0.435,3130,32.5,37.3,46.0
2026-09-04,29,720.0,16.01,1601,249,736.01,752.02,800.05,2.7,0.43,0.493,720,27.3,40.2,47.8
2026-08-31,25,720.0,13.93,1393,287,733.93,747.86,789.65,2.4,0.41,0.484,1172,28.0,41.4,49.2
2026-08-28,22,720.0,13.31,1331,300,733.31,746.62,786.55,2.3,0.42,0.482,1204,29.7,41.0,48.2
2026-08-21,15,720.0,9.87,987,405,729.87,739.74,769.35,1.8,0.4,0.464,16906,30.2,39.4,47.3
2026-08-13,7,720.0,5.78,578,692,725.78,731.56,748.9,1.2,0.41,0.423,748,32.3,37.5,45.1
2026-12-31,147,720.0,45.71,4571,87,765.71,811.42,948.55,6.8,0.48,0.555,2127,26.6,59.6,51.6
2026-09-18,43,721.0,19.76,1976,202,740.76,760.52,819.8,3.3,0.44,0.499,823,29.8,44.2,50.7
2026-08-07,1,721.0,1.36,136,2941,722.36,723.72,727.8,0.7,0.56,0.27,2636,23.5,26.4,23.5
2026-08-21,15,721.0,9.39,939,425,730.39,739.78,767.95,1.9,0.42,0.45,616,28.4,38.5,45.8
2026-08-10,4,721.0,2.67,267,1498,723.67,726.34,734.35,0.9,0.4,0.339,839,32.9,36.5,41.7
2026-08-14,8,722.0,5.64,564,709,727.64,733.28,750.2,1.5,0.45,0.396,928,29.3,36.3,41.2
2026-08-21,15,722.0,8.9,890,449,730.9,739.8,766.5,1.9,0.43,0.435,1983,28.0,37.3,45.2
2026-08-07,1,722.0,1.08,108,3703,723.08,724.16,727.4,0.8,0.63,0.23,2893,20.5,22.7,20.5
2026-08-10,4,722.0,2.32,232,1724,724.32,726.64,733.6,1.0,0.44,0.308,867,29.9,34.3,38.7
2026-08-14,8,722.5,5.43,543,736,727.93,733.36,749.65,1.5,0.46,0.387,543,28.3,35.9,39.2
2026-08-07,1,723.0,0.86,86,4651,723.86,724.72,727.3,1.0,0.71,0.193,2530,18.1,19.1,18.1
2026-08-14,8,723.0,5.18,518,772,728.18,733.36,748.9,1.6,0.47,0.377,1078,27.3,34.9,38.6
2026-08-10,4,723.0,2.0,200,2000,725.0,727.0,733.0,1.1,0.48,0.278,726,27.9,33.3,36.1
2026-08-31,25,723.0,12.44,1244,321,735.44,747.88,785.2,2.6,0.45,0.453,695,26.7,39.1,46.7
2026-08-21,15,723.0,8.42,842,475,731.42,739.84,765.1,2.0,0.45,0.421,1819,27.0,35.3,44.0
2026-08-14,8,724.0,4.83,483,828,728.83,733.66,748.15,1.6,0.5,0.358,662,26.1,33.3,37.1
2026-08-21,15,724.0,7.97,797,501,731.97,739.94,763.85,2.1,0.46,0.407,984,25.4,34.5,42.6
2026-09-18,43,724.0,18.21,1821,219,742.21,760.42,815.05,3.5,0.46,0.476,512,28.8,43.1,46.1
2026-08-28,22,724.0,11.36,1136,352,735.36,746.72,780.8,2.6,0.47,0.438,508,26.8,37.5,43.4
2026-08-10,4,724.0,1.72,172,2325,725.72,727.44,732.6,1.2,0.52,0.249,503,26.3,29.9,33.7
