report,n,abs_cc,abs_oc,range,trend,dir_rate
Jobs Report (NFP + Unemployment),3,0.011793180474000797,0.008928427805156977,0.014253576951903794,0.6179158599074598,0.6666666666666666
PPI (Producer Price Index),3,0.011592191913819624,0.009131435663183604,0.014336778698181589,0.6685042839638723,0.6666666666666666
JOLTS (Job Openings),4,0.0115587077335505,0.007840207017929146,0.010208741868532342,0.71438576923009,0.75
Consumer Sentiment prelim,1,0.009897152462855052,0.0016305020648468282,0.008645021125520392,0.18860590866961927,0.0
ISM Services PMI,1,0.008727409084800408,0.0033924193096723787,0.0067133916036927034,0.5053212310460747,0.0
Retail Sales (Advance),4,0.008615873557956927,0.0076514680399094315,0.011488476391522135,0.6277691141924829,0.5
FOMC Rate Decision,2,0.006321185963230724,0.007282705796025857,0.01130702727093626,0.4747390408746719,0.5
GDP,4,0.005670226657899291,0.006297243979056566,0.01131759830935574,0.5800264804797174,0.0
PCE (Personal Income & Outlays),4,0.005670226657899291,0.006297243979056566,0.01131759830935574,0.5800264804797174,0.0
CPI (Consumer Price Index),4,0.005373231067757861,0.004139883490445417,0.009675018096591076,0.3780589563861656,0.25
FOMC June Minutes,1,0.0030894329863333514,0.00301422316920541,0.008880461438780872,0.33942190842047154,0.0
