exp,dte,strike,ask,cost,n@budget,BE,2x,5x,need%,sigma,delta,oi,p_BE,p_BE_d,p_touch
2026-08-21,25,738.0,13.09,1309,0,751.09,764.18,803.45,1.8,0.7,0.532,1800,14.4,23.3,19.8
2026-08-21,25,740.0,11.84,1184,0,751.84,763.68,799.2,2.0,0.74,0.506,6375,13.4,21.4,18.5
2026-08-21,25,741.0,11.23,1123,0,752.23,763.46,797.15,2.0,0.76,0.492,2400,12.8,20.6,18.1
2026-08-21,25,742.0,10.64,1064,0,752.64,763.28,795.2,2.1,0.78,0.478,1555,12.1,19.3,17.1
2026-08-21,25,743.0,10.06,1006,0,753.06,763.12,793.3,2.1,0.8,0.464,2190,11.5,18.1,16.7
2026-08-21,25,744.0,9.5,950,1,753.5,763.0,791.5,2.2,0.83,0.45,1163,10.9,16.9,16.0
2026-08-21,25,745.0,8.95,895,1,753.95,762.9,789.75,2.2,0.85,0.436,13273,10.7,15.6,15.2
2026-08-21,25,746.0,8.42,842,1,754.42,762.84,788.1,2.3,0.87,0.421,1478,10.3,15.2,14.4
2026-08-21,25,747.0,7.9,790,1,754.9,762.8,786.5,2.4,0.9,0.406,2043,10.1,14.6,14.0
2026-08-21,25,748.0,7.4,740,1,755.4,762.8,785.0,2.4,0.92,0.391,4850,9.5,14.4,13.8
2026-08-21,25,749.0,6.92,692,1,755.92,762.84,783.6,2.5,0.95,0.376,3384,9.3,14.4,13.0
2026-08-21,25,750.0,6.46,646,1,756.46,762.92,782.3,2.6,0.98,0.361,18192,8.6,13.0,11.9
2026-08-21,25,751.0,6.01,601,1,757.01,763.02,781.05,2.7,1.0,0.345,3766,8.0,12.1,10.9
2026-08-21,25,752.0,5.58,558,1,757.58,763.16,779.9,2.7,1.03,0.33,6780,7.6,11.5,10.5
2026-08-21,25,753.0,5.17,517,1,758.17,763.34,778.85,2.8,1.06,0.315,3209,7.2,10.7,9.3
2026-08-21,25,754.0,4.79,479,2,758.79,763.58,777.95,2.9,1.09,0.3,4295,6.8,10.3,8.6
2026-08-21,25,755.0,4.42,442,2,759.42,763.84,777.1,3.0,1.13,0.285,10422,6.2,10.1,8.4
2026-08-21,25,756.0,4.06,406,2,760.06,764.12,776.3,3.1,1.16,0.27,3590,6.2,9.5,7.6
2026-08-21,25,757.0,3.73,373,2,760.73,764.46,775.65,3.2,1.19,0.255,4654,5.6,8.8,7.4
2026-08-21,25,758.0,3.42,342,2,761.42,764.84,775.1,3.3,1.23,0.24,3464,5.3,8.0,7.0
2026-08-21,25,759.0,3.13,313,3,762.13,765.26,774.65,3.3,1.26,0.226,3028,5.3,7.4,6.8
2026-08-21,25,760.0,2.85,285,3,762.85,765.7,774.25,3.4,1.3,0.212,21371,5.1,7.2,6.4
2026-08-21,25,761.0,2.59,259,3,763.59,766.18,773.95,3.5,1.34,0.199,2326,4.9,6.8,6.4
2026-08-21,25,762.0,2.35,235,4,764.35,766.7,773.75,3.6,1.37,0.186,4180,4.9,6.2,6.4
2026-08-21,25,763.0,2.13,213,4,765.13,767.26,773.65,3.8,1.41,0.173,3228,4.9,5.8,6.0
2026-08-21,25,764.0,1.93,193,5,765.93,767.86,773.65,3.9,1.45,0.161,2720,4.9,5.3,6.0
2026-08-21,25,765.0,1.74,174,5,766.74,768.48,773.7,4.0,1.49,0.149,16529,4.3,5.3,5.6
2026-08-21,25,766.0,1.57,157,6,767.57,769.14,773.85,4.1,1.53,0.138,3814,4.1,5.1,4.5
2026-08-21,25,767.0,1.41,141,7,768.41,769.82,774.05,4.2,1.58,0.127,3339,3.5,4.9,4.1
2026-08-21,25,768.0,1.27,127,7,769.27,770.54,774.35,4.3,1.62,0.117,3710,2.9,4.9,4.1
2026-08-21,25,769.0,1.13,113,8,770.13,771.26,774.65,4.4,1.66,0.107,2609,2.9,4.9,3.5
2026-08-21,25,770.0,1.02,102,9,771.02,772.04,775.1,4.6,1.71,0.098,22478,2.7,4.5,3.1
2026-08-21,25,771.0,0.91,91,10,771.91,772.82,775.55,4.7,1.75,0.09,4995,2.5,4.1,2.5
2026-08-21,25,772.0,0.81,81,12,772.81,773.62,776.05,4.8,1.8,0.082,4005,2.5,3.9,2.5
2026-08-21,25,773.0,0.73,73,13,773.73,774.46,776.65,4.9,1.84,0.075,4501,2.5,2.9,2.5
2026-08-21,25,774.0,0.65,65,15,774.65,775.3,777.25,5.0,1.89,0.068,2805,2.3,2.9,2.3
2026-08-21,25,775.0,0.58,58,17,775.58,776.16,777.9,5.2,1.93,0.062,32079,2.3,2.7,2.3
2026-08-21,25,776.0,0.51,51,19,776.51,777.02,778.55,5.3,1.98,0.056,3469,2.1,2.5,2.1
2026-08-21,25,777.0,0.46,46,21,777.46,777.92,779.3,5.4,2.03,0.051,4693,1.9,2.5,1.9
2026-08-21,25,778.0,0.41,41,24,778.41,778.82,780.05,5.6,2.07,0.046,4337,1.9,2.5,1.9
2026-08-21,25,779.0,0.37,37,27,779.37,779.74,780.85,5.7,2.12,0.042,2044,1.6,2.3,1.6
2026-08-21,25,780.0,0.33,33,30,780.33,780.66,781.65,5.8,2.17,0.038,25414,1.6,2.1,1.6
2026-08-21,25,781.0,0.29,29,34,781.29,781.58,782.45,5.9,2.21,0.035,2257,1.4,2.1,1.4
2026-08-21,25,782.0,0.26,26,38,782.26,782.52,783.3,6.1,2.26,0.032,1371,1.0,1.9,1.2
2026-08-21,25,783.0,0.24,24,41,783.24,783.48,784.2,6.2,2.31,0.029,1639,1.0,1.9,1.2
2026-08-21,25,784.0,0.22,22,45,784.22,784.44,785.1,6.3,2.36,0.027,1483,1.0,1.6,1.0
2026-08-21,25,785.0,0.2,20,50,785.2,785.4,786.0,6.5,2.4,0.025,5464,0.8,1.6,0.8
2026-08-21,25,786.0,0.18,18,55,786.18,786.36,786.9,6.6,2.45,0.023,1729,0.6,1.2,0.6
2026-08-21,25,787.0,0.16,16,62,787.16,787.32,787.8,6.7,2.5,0.021,1348,0.4,1.0,0.4
2026-08-21,25,788.0,0.15,15,66,788.15,788.3,788.75,6.9,2.55,0.019,1360,0.4,1.0,0.4
2026-08-21,25,789.0,0.14,14,71,789.14,789.28,789.7,7.0,2.6,0.018,953,0.2,0.8,0.4
2026-08-21,25,790.0,0.13,13,76,790.13,790.26,790.65,7.1,2.64,0.017,18096,0.2,0.8,0.4
2026-08-21,25,791.0,0.12,12,83,791.12,791.24,791.6,7.3,2.69,0.015,1264,0.2,0.6,0.4
2026-08-21,25,792.0,0.11,11,90,792.11,792.22,792.55,7.4,2.74,0.014,1293,0.2,0.4,0.2
2026-08-21,25,793.0,0.1,10,100,793.1,793.2,793.5,7.5,2.79,0.013,1086,0.2,0.4,0.2
2026-08-21,25,794.0,0.1,10,100,794.1,794.2,794.5,7.7,2.84,0.013,844,0.2,0.2,0.2
