exp,dte,strike,ask,cost,n@budget,BE,2x,5x,need%,sigma,delta,oi,p_BE,p_BE_d,p_touch
2026-08-21,25,165.0,2.79,279,3,167.79,170.58,178.95,2.2,0.43,0.488,3657,29.6,32.7,54.7
2026-08-21,25,166.0,2.42,242,4,168.42,170.84,178.1,2.6,0.5,0.433,325,27.8,29.6,49.0
2026-08-21,25,167.0,2.03,203,4,169.03,171.06,177.15,3.0,0.57,0.379,1469,24.7,28.0,41.8
2026-08-21,25,168.0,1.54,154,6,169.54,171.08,175.7,3.3,0.63,0.329,4786,22.6,25.5,38.3
2026-08-21,25,169.0,1.39,139,7,170.39,171.78,175.95,3.8,0.73,0.282,19,20.0,22.2,32.1
2026-08-21,25,170.0,1.0,100,10,171.0,172.0,175.0,4.2,0.8,0.239,2217,18.3,20.0,29.0
2026-08-21,25,171.0,0.91,91,10,171.91,172.82,175.55,4.8,0.9,0.201,78,14.8,17.3,23.0
2026-08-21,25,172.0,0.72,72,13,172.72,173.44,175.6,5.3,0.99,0.168,14,12.1,14.6,20.2
2026-08-21,25,175.0,0.31,31,32,175.31,175.62,176.55,6.8,1.28,0.096,2276,6.8,7.8,11.1
2026-08-21,25,180.0,0.18,18,55,180.18,180.36,180.9,9.8,1.82,0.036,174,1.0,1.4,2.7
