release_date,report,tier,release_id,time_et,series,units,period,value,prev_value,chg_vs_prev
2016-01-07,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-01-02,277000.0,,
2016-01-08,Jobs Report (NFP + Unemployment),1,50,08:30,PAYEMS,payrolls level (k),2015-12-01,143242.0,,
2016-01-12,JOLTS (Job Openings),2,192,10:00,JTSJOL,openings level (k),2015-11-01,5431.0,,
2016-01-14,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-01-09,284000.0,277000.0,7000.0
2016-01-15,PPI (Producer Price Index),2,46,08:30,PPIFIS,final demand index,2015-12-01,109.6,,
2016-01-15,Retail Sales (Advance),2,9,08:30,RSAFS,$M sales,2015-12-01,448086.0,,
2016-01-20,CPI (Consumer Price Index),1,10,08:30,CPIAUCSL,index (headline),2015-12-01,237.847,,
2016-01-21,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-01-16,293000.0,284000.0,9000.0
2016-01-28,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-01-23,278000.0,293000.0,-15000.0
2016-01-29,GDP,2,53,08:30,A191RL1Q225SBEA,real GDP QoQ % ann.,2015-10-01,0.7,,
2016-02-01,PCE (Personal Income & Outlays),1,54,08:30,PCEPILFE,core PCE index,2015-12-01,110.066,,
2016-02-04,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-01-30,285000.0,278000.0,7000.0
2016-02-05,Jobs Report (NFP + Unemployment),1,50,08:30,PAYEMS,payrolls level (k),2016-01-01,143288.0,143242.0,46.0
2016-02-09,JOLTS (Job Openings),2,192,10:00,JTSJOL,openings level (k),2015-12-01,5607.0,5431.0,176.0
2016-02-11,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-02-06,269000.0,285000.0,-16000.0
2016-02-12,Retail Sales (Advance),2,9,08:30,RSAFS,$M sales,2016-01-01,449904.0,448086.0,1818.0
2016-02-17,PPI (Producer Price Index),2,46,08:30,PPIFIS,final demand index,2016-01-01,109.8,109.6,0.20000000000000284
2016-02-18,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-02-13,262000.0,269000.0,-7000.0
2016-02-19,CPI (Consumer Price Index),1,10,08:30,CPIAUCSL,index (headline),2016-01-01,238.107,237.847,0.2599999999999909
2016-02-25,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-02-20,272000.0,262000.0,10000.0
2016-02-26,PCE (Personal Income & Outlays),1,54,08:30,PCEPILFE,core PCE index,2016-01-01,110.406,110.066,0.3400000000000034
2016-02-26,GDP,2,53,08:30,A191RL1Q225SBEA,real GDP QoQ % ann.,2015-10-01,1.0,0.7,0.30000000000000004
2016-03-03,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-02-27,278000.0,272000.0,6000.0
2016-03-04,Jobs Report (NFP + Unemployment),1,50,08:30,PAYEMS,payrolls level (k),2016-02-01,143560.0,143288.0,272.0
2016-03-10,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-03-05,259000.0,278000.0,-19000.0
2016-03-15,PPI (Producer Price Index),2,46,08:30,PPIFIS,final demand index,2016-02-01,109.6,109.8,-0.20000000000000284
2016-03-15,Retail Sales (Advance),2,9,08:30,RSAFS,$M sales,2016-02-01,447308.0,449904.0,-2596.0
2016-03-16,CPI (Consumer Price Index),1,10,08:30,CPIAUCSL,index (headline),2016-02-01,237.707,238.107,-0.4000000000000057
2016-03-17,JOLTS (Job Openings),2,192,10:00,JTSJOL,openings level (k),2016-01-01,5541.0,5607.0,-66.0
2016-03-17,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-03-12,265000.0,259000.0,6000.0
2016-03-24,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-03-19,265000.0,265000.0,0.0
2016-03-25,GDP,2,53,08:30,A191RL1Q225SBEA,real GDP QoQ % ann.,2015-10-01,1.4,1.0,0.3999999999999999
2016-03-28,PCE (Personal Income & Outlays),1,54,08:30,PCEPILFE,core PCE index,2016-02-01,110.555,110.406,0.1490000000000009
2016-03-31,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-03-26,276000.0,265000.0,11000.0
2016-04-01,Jobs Report (NFP + Unemployment),1,50,08:30,PAYEMS,payrolls level (k),2016-03-01,143774.0,143560.0,214.0
2016-04-05,JOLTS (Job Openings),2,192,10:00,JTSJOL,openings level (k),2016-02-01,5445.0,5541.0,-96.0
2016-04-07,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-04-02,267000.0,276000.0,-9000.0
2016-04-13,PPI (Producer Price Index),2,46,08:30,PPIFIS,final demand index,2016-03-01,109.5,109.6,-0.09999999999999432
2016-04-13,Retail Sales (Advance),2,9,08:30,RSAFS,$M sales,2016-03-01,446887.0,447308.0,-421.0
2016-04-14,CPI (Consumer Price Index),1,10,08:30,CPIAUCSL,index (headline),2016-03-01,237.92,237.707,0.21299999999999386
2016-04-14,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-04-09,253000.0,267000.0,-14000.0
2016-04-21,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-04-16,247000.0,253000.0,-6000.0
2016-04-28,GDP,2,53,08:30,A191RL1Q225SBEA,real GDP QoQ % ann.,2016-01-01,0.5,1.4,-0.8999999999999999
2016-04-28,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-04-23,257000.0,247000.0,10000.0
2016-04-29,PCE (Personal Income & Outlays),1,54,08:30,PCEPILFE,core PCE index,2016-03-01,110.655,110.555,0.09999999999999432
2016-05-05,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-04-30,274000.0,257000.0,17000.0
2016-05-06,Jobs Report (NFP + Unemployment),1,50,08:30,PAYEMS,payrolls level (k),2016-04-01,143915.0,143774.0,141.0
2016-05-10,JOLTS (Job Openings),2,192,10:00,JTSJOL,openings level (k),2016-03-01,5757.0,5445.0,312.0
2016-05-12,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-05-07,294000.0,274000.0,20000.0
2016-05-13,PPI (Producer Price Index),2,46,08:30,PPIFIS,final demand index,2016-04-01,109.7,109.5,0.20000000000000284
2016-05-13,Retail Sales (Advance),2,9,08:30,RSAFS,$M sales,2016-04-01,453438.0,446887.0,6551.0
2016-05-17,CPI (Consumer Price Index),1,10,08:30,CPIAUCSL,index (headline),2016-04-01,238.89,237.92,0.9699999999999989
2016-05-19,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-05-14,278000.0,294000.0,-16000.0
2016-05-26,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-05-21,268000.0,278000.0,-10000.0
2016-05-27,GDP,2,53,08:30,A191RL1Q225SBEA,real GDP QoQ % ann.,2016-01-01,0.8,0.5,0.30000000000000004
2016-05-31,PCE (Personal Income & Outlays),1,54,08:30,PCEPILFE,core PCE index,2016-04-01,110.874,110.655,0.2189999999999941
2016-06-02,Initial Jobless Claims,3,180,08:30,ICSA,claims,2016-05-28,267000.0,268000.0,-1000.0
2016-06-03,Jobs Report (NFP + Unemployment),1,50,08:30,PAYEMS,payrolls level (k),2016-05-01,143894.0,143915.0,-21.0
